id,name,type,nationality,birth,career,start age,position
Pele,Pele,1,Brasilien,1940,1956,1,3
Maradona,Diego Maradona,1,Argentinien,1960,1976,1,3
Cruyff,Johan Cruyff,1,Niederlande,1947,1964,1,3
Beckenbauer,Franz Beckenbauer,1,Deutschland,1945,1964,2,2
Platini,Michel Platini,1,Frankreich,1955,1973,1,3
FC Santos,Santos,2,Brasilien,,,,
New York Cosmos,NYC,2,USA,,,,
Argentinos Juniors,Argentinos,2,Argentinien,,,,
Boca Juniors,Boca,2,Brasilien,,,,
FC Barcelona,Barca,2,Spanien,,,,
SSC Neapel,SSC,2,Italien,,,,
FC Sevilla,Sevilla,2,Spanien,,,,
Newells Old Boys,Newwells,2,Argentinien,,,,
Ajax Amsterdam,Ajax,2,Niederlande,,,,
Los Angeles Aztecs,LA,2,USA,,,,
Washington Diplomats,Washington,2,USA,,,,
UD Levante,Levante,2,Spanien,,,,
Feyenoord Rotterdam,Feyenoord,2,Niederlande,,,,
FC Bayern Munchen,FCB,2,Deutschland,,,,
Juventus Turin,Juve,2,Italien,,,,
AS Saint Etienne,Etienne,2,Frankreich,,,,
AS Nancy,Nancy,2,Frankreich,,,,
Hamburger SV,HSV,2,Deutschland,,,,
Brasilien,BRA,3,,,,,
Argentinien,ARG,3,,,,,
Niederlande,NL,3,,,,,
Deutschland,GER,3,,,,,
Frankreich,FRA,3,,,,,
Kuwait,KU,3,,,,,
